IndexKey,IndexName,Group,Date,SourceDate,Close,PE
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2019-06-30,2019-06-28,16846.85,35.75
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2019-09-30,2019-09-30,16166.7,28.46
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2019-12-31,2019-12-31,17452.85,32.39
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2020-03-31,2020-03-31,11876.8,19.79
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2020-06-30,2020-06-30,13659.85,25.08
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2020-09-30,2020-09-30,14550.45,29.59
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2020-12-31,2020-12-31,19625.9,34.13
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2021-03-31,2021-03-31,20561.4,30.59
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2021-06-30,2021-06-30,21889.75,28.95
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2021-09-30,2021-09-30,24619.25,29.52
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2021-12-31,2021-12-31,24396.3,27.13
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2022-03-31,2022-03-31,24210.9,24.89
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2022-06-30,2022-06-30,21243.05,20.33
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2022-09-30,2022-09-30,23379.9,21.45
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2022-12-31,2022-12-30,24842.4,21.97
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2023-03-31,2023-03-31,23037,19.47
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2023-06-30,2023-06-30,24873.15,21.06
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2023-09-30,2023-09-29,25124.9,21.62
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2023-12-31,2023-12-29,27687.8,22.57
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2024-03-31,2024-03-28,27843.65,22.61
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2024-06-30,2024-06-28,30428.05,22.59
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2024-09-30,2024-09-30,33007.5,23.35
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2024-12-31,2024-12-31,31417.1,21.58
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2025-03-31,2025-03-28,31163.35,20.38
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2025-06-30,2025-06-30,33740.2,21.74
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2025-09-30,2025-09-30,31851.4,20.52
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2025-12-31,2025-12-31,33656.4,21.54
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2026-03-31,2026-03-30,28363.6,18.48
NIFTYSERVICESSECTOR,NIFTY Services Sector,Strategy / Thematic / Other,2026-06-30,2026-06-30,30504.7,19.6
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2015-12-31,2015-12-31,3281.28,27.2
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2016-03-31,2016-03-31,3119.2,24.21
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2016-06-30,2016-06-30,3296.45,25.38
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2016-09-30,2016-09-30,3445.76,25.05
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2016-12-31,2016-12-30,3258.97,24.16
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2017-03-31,2017-03-31,3583.28,24.85
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2017-06-30,2017-06-30,3720.36,26.18
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2017-09-30,2017-09-29,3953.1,31.43
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2017-12-31,2017-12-29,4320.91,30.84
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2018-03-31,2018-03-28,4040.22,27.9
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2018-06-30,2018-06-29,4154.14,27.26
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2018-09-30,2018-09-28,4164.19,23.44
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2018-12-31,2018-12-31,4225.57,23.19
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2019-03-31,2019-03-29,4312.45,24.29
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2019-06-30,2019-06-28,4213.94,22.28
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2019-09-30,2019-09-30,4320.22,27.27
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2019-12-31,2019-12-31,4324.03,25.39
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2020-03-31,2020-03-31,3582.54,20.86
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2020-06-30,2020-06-30,4196.81,25.84
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2020-09-30,2020-09-30,4604.08,34.2
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2020-12-31,2020-12-31,5343.24,41.47
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2021-03-31,2021-03-31,5497.55,30.83
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2021-06-30,2021-06-30,6019.6,29.56
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2021-09-30,2021-09-30,6562.49,29.22
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2021-12-31,2021-12-31,6635.56,27.55
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2022-03-31,2022-03-31,6261.27,25.94
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2022-06-30,2022-06-30,5675.88,22.21
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2022-09-30,2022-09-30,6224.05,23.61
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2022-12-31,2022-12-30,6290.99,25.37
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2023-03-31,2023-03-31,5916.96,20.56
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2023-06-30,2023-06-30,6467.32,23.54
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2023-09-30,2023-09-29,6737.23,24.62
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2023-12-31,2023-12-29,7591.14,26.01
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2024-03-31,2024-03-28,7731.52,26.69
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2024-06-30,2024-06-28,8434.38,27.07
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2024-09-30,2024-09-30,9396.81,30.98
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2024-12-31,2024-12-31,8475.35,28.49
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2025-03-31,2025-03-28,7879.35,26.24
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2025-06-30,2025-06-30,8325.2,26.91
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2025-09-30,2025-09-30,8011.7,28.89
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2025-12-31,2025-12-31,8401.9,29.52
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2026-03-31,2026-03-30,7255.85,25.54
NIFTYSHARIAH25,NIFTY Shariah 25,Strategy / Thematic / Other,2026-06-30,2026-06-30,7605.4,25.62
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2015-12-31,2015-12-31,5653.3,25.08
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2016-03-31,2016-03-31,4884.85,43.18
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2018-06-30,2018-06-29,7177.75,71.79
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2018-09-30,2018-09-28,6150.95,119.84
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2018-12-31,2018-12-31,6449.15,34.39
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2019-03-31,2019-03-29,6672.55,30.47
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2019-06-30,2019-06-28,6200.15,36.12
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2019-09-30,2019-09-30,5593.75,64.2
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2019-12-31,2019-12-31,5834.75,100.44
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2020-03-31,2020-03-31,3594.7,
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2020-06-30,2020-06-30,4614.95,18.19
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2020-09-30,2020-09-30,5822.95,72.12
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2020-12-31,2020-12-31,7087.6,37.92
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2021-03-31,2021-03-31,8113.15,55.94
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2021-06-30,2021-06-30,9733.75,41.11
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2021-09-30,2021-09-30,10890,28.01
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2021-12-31,2021-12-31,11289,32.11
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2022-03-31,2022-03-31,10436.25,24.71
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2022-06-30,2022-06-30,8445.25,18.64
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2022-09-30,2022-09-30,9441.8,16.72
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2022-12-31,2022-12-30,9731.3,16.78
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2023-03-31,2023-03-31,8994.75,16.17
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2023-06-30,2023-06-30,10837.1,19.66
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2023-09-30,2023-09-29,12748.5,26.14
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2023-12-31,2023-12-29,15143.65,28.74
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2024-03-31,2024-03-28,15270.45,25.52
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2024-06-30,2024-06-28,18317.7,29.28
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2024-09-30,2024-09-30,19179.65,35.76
NIFTYSMALLCAP100,NIFTY Smallcap 100,Broad Market,2024-12-31,2024-12-31,18769.2,34.68
